DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5
44,HAM,Mercedes,3.0,2.0,Finished,2023,Australian,3,Race,True,5.333333333333333,,,921.1986,,
14,ALO,Aston Martin,4.0,3.0,Finished,2023,Australian,3,Race,True,9.666666666666666,,,1215.77,,
18,STR,Aston Martin,6.0,4.0,Finished,2023,Australian,3,Race,True,8.666666666666666,7.0,0.2,1215.77,,
11,PER,Red Bull Racing,20.0,5.0,Finished,2023,Australian,3,Race,True,1.3333333333333333,1.4,0.0,919.0382500000001,,
4,NOR,McLaren,13.0,6.0,Finished,2023,Australian,3,Race,True,17.333333333333332,,,1052.0905714285714,,
27,HUL,Haas F1 Team,10.0,7.0,Finished,2023,Australian,3,Race,True,12.333333333333334,,,927.3892,,
81,PIA,McLaren,16.0,8.0,Finished,2023,Australian,3,Race,True,12.666666666666666,15.0,0.2,1052.0905714285714,,
24,ZHO,Alfa Romeo,17.0,9.0,Finished,2023,Australian,3,Race,True,15.666666666666666,,,667.9410909090909,,
22,TSU,AlphaTauri,12.0,10.0,Finished,2023,Australian,3,Race,True,13.0,,,677.38075,,
77,BOT,Alfa Romeo,19.0,11.0,Finished,2023,Australian,3,Race,True,13.333333333333334,12.8,0.0,667.9410909090909,,
55,SAI,Ferrari,5.0,12.0,Finished,2023,Australian,3,Race,True,10.666666666666666,,,923.04,,
10,GAS,Alpine,9.0,13.0,Retired,2023,Australian,3,Race,False,11.666666666666666,,,727.629,,
31,OCO,Alpine,11.0,14.0,Retired,2023,Australian,3,Race,False,10.0,11.4,0.4,727.629,,
21,DEV,AlphaTauri,15.0,15.0,Retired,2023,Australian,3,Race,False,11.666666666666666,12.0,0.0,677.38075,,
2,SAR,Williams,18.0,16.0,Retired,2023,Australian,3,Race,False,15.666666666666666,,,300.1658333333333,,
20,MAG,Haas F1 Team,14.0,17.0,Retired,2023,Australian,3,Race,False,9.666666666666666,11.4,0.0,927.3892,,
63,RUS,Mercedes,2.0,18.0,Retired,2023,Australian,3,Race,False,3.6666666666666665,4.6,0.0,921.1986,,
23,ALB,Williams,8.0,19.0,Retired,2023,Australian,3,Race,False,17.0,14.6,0.4,300.1658333333333,,
16,LEC,Ferrari,7.0,20.0,Retired,2023,Australian,3,Race,False,8.333333333333334,9.6,0.2,923.04,,
11,PER,Red Bull Racing,3.0,1.0,Finished,2023,Azerbaijan,4,Race,True,2.6666666666666665,2.2,0.0,20.616500000000002,321.4825,
1,VER,Red Bull Racing,2.0,2.0,Finished,2023,Azerbaijan,4,Race,True,2.3333333333333335,2.0,0.0,20.616500000000002,321.4825,
16,LEC,Ferrari,1.0,3.0,Finished,2023,Azerbaijan,4,Race,True,13.0,12.8,0.4,21.46,322.50916666666666,
14,ALO,Aston Martin,6.0,4.0,Finished,2023,Azerbaijan,4,Race,True,9.0,7.2,0.2,23.148,421.6496666666667,
55,SAI,Ferrari,4.0,5.0,Finished,2023,Azerbaijan,4,Race,True,11.666666666666666,9.6,0.2,21.46,322.50916666666666,
44,HAM,Mercedes,5.0,6.0,Finished,2023,Azerbaijan,4,Race,True,8.333333333333334,7.2,0.2,20.703,322.4395333333334,
18,STR,Aston Martin,9.0,7.0,Finished,2023,Azerbaijan,4,Race,True,3.6666666666666665,6.8,0.2,23.148,421.6496666666667,
63,RUS,Mercedes,11.0,8.0,Finished,2023,Azerbaijan,4,Race,True,8.666666666666666,7.0,0.2,20.703,322.4395333333334,
4,NOR,McLaren,7.0,9.0,Finished,2023,Azerbaijan,4,Race,True,10.333333333333334,13.2,0.2,20.664,370.69380158730155,
22,TSU,AlphaTauri,8.0,10.0,Finished,2023,Azerbaijan,4,Race,True,13.0,12.8,0.2,20.484,241.25215000000003,
81,PIA,McLaren,10.0,11.0,Finished,2023,Azerbaijan,4,Race,True,7.666666666666667,11.0,0.0,20.664,370.69380158730155,
23,ALB,Williams,12.0,12.0,Finished,2023,Azerbaijan,4,Race,True,18.0,16.4,0.6,21.07,115.50133333333332,
20,MAG,Haas F1 Team,16.0,13.0,Finished,2023,Azerbaijan,4,Race,True,12.0,12.2,0.2,27.812,325.47312222222223,
10,GAS,Alpine,17.0,14.0,Finished,2023,Azerbaijan,4,Race,True,12.0,12.4,0.6,20.598666666666666,259.8232222222222,
31,OCO,Alpine,19.0,15.0,Finished,2023,Azerbaijan,4,Race,True,13.666666666666666,11.6,0.4,20.598666666666666,259.8232222222222,
2,SAR,Williams,14.0,16.0,Finished,2023,Azerbaijan,4,Race,True,15.666666666666666,16.4,0.6,21.07,115.50133333333332,
27,HUL,Haas F1 Team,20.0,17.0,Lapped,2023,Azerbaijan,4,Race,True,12.333333333333334,11.8,0.2,27.812,325.47312222222223,
77,BOT,Alfa Romeo,13.0,18.0,Lapped,2023,Azerbaijan,4,Race,True,12.666666666666666,13.4,0.0,21.6715,238.68629696969697,
24,ZHO,Alfa Romeo,15.0,19.0,Retired,2023,Azerbaijan,4,Race,False,12.666666666666666,13.8,0.0,21.6715,238.68629696969697,
21,DEV,AlphaTauri,18.0,20.0,Retired,2023,Azerbaijan,4,Race,False,11.666666666666666,12.0,0.2,20.484,241.25215000000003,
1,VER,Red Bull Racing,9.0,1.0,Finished,2023,Miami,5,Race,True,2.6666666666666665,2.2,0.0,22.2965,320.1399166666667,
11,PER,Red Bull Racing,1.0,2.0,Finished,2023,Miami,5,Race,True,1.3333333333333333,2.0,0.0,22.2965,320.1399166666667,
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Miami,5,Race,True,5.0,7.6,0.2,22.641,420.97516666666667,
63,RUS,Mercedes,6.0,4.0,Finished,2023,Miami,5,Race,True,10.666666666666666,7.8,0.2,22.258000000000003,320.9488666666667,
55,SAI,Ferrari,3.0,5.0,Finished,2023,Miami,5,Race,True,9.333333333333334,9.4,0.2,22.164,321.5206666666666,
44,HAM,Mercedes,13.0,6.0,Finished,2023,Miami,5,Race,True,6.0,7.6,0.2,22.258000000000003,320.9488666666667,
16,LEC,Ferrari,7.0,7.0,Finished,2023,Miami,5,Race,True,4.333333333333333,9.0,0.2,22.164,321.5206666666666,
10,GAS,Alpine,5.0,8.0,Finished,2023,Miami,5,Race,True,14.333333333333334,13.0,0.4,22.195,256.32588888888887,
31,OCO,Alpine,8.0,9.0,Finished,2023,Miami,5,Race,True,12.333333333333334,12.8,0.4,22.195,256.32588888888887,
20,MAG,Haas F1 Team,4.0,10.0,Finished,2023,Miami,5,Race,True,15.666666666666666,13.2,0.2,22.8985,325.4732333333333,
22,TSU,AlphaTauri,17.0,11.0,Finished,2023,Miami,5,Race,True,15.0,13.8,0.4,22.922,239.70741666666672,
18,STR,Aston Martin,18.0,12.0,Finished,2023,Miami,5,Race,True,4.666666666666667,4.2,0.0,22.641,420.97516666666667,
77,BOT,Alfa Romeo,10.0,13.0,Finished,2023,Miami,5,Race,True,16.0,15.0,0.2,22.992,237.09466363636363,
23,ALB,Williams,11.0,14.0,Finished,2023,Miami,5,Race,True,15.666666666666666,16.4,0.6,35.6715,114.1516111111111,
27,HUL,Haas F1 Team,12.0,15.0,Finished,2023,Miami,5,Race,True,13.333333333333334,12.8,0.2,22.8985,325.4732333333333,
24,ZHO,Alfa Romeo,14.0,16.0,Finished,2023,Miami,5,Race,True,16.666666666666668,14.0,0.2,22.992,237.09466363636363,
4,NOR,McLaren,16.0,17.0,Finished,2023,Miami,5,Race,True,9.333333333333334,10.2,0.0,23.171,366.7130793650793,
21,DEV,AlphaTauri,15.0,18.0,Finished,2023,Miami,5,Race,True,13.666666666666666,13.2,0.4,22.922,239.70741666666672,
81,PIA,McLaren,19.0,19.0,Lapped,2023,Miami,5,Race,True,12.333333333333334,10.2,0.0,23.171,366.7130793650793,
2,SAR,Williams,20.0,20.0,Lapped,2023,Miami,5,Race,True,14.0,15.4,0.4,35.6715,114.1516111111111,
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Monaco,6,Race,True,1.6666666666666667,2.2,0.0,26.726333333333333,320.6504166666667,201.4721
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Monaco,6,Race,True,7.333333333333333,6.0,0.0,87.725,420.51966666666664,262.1476
31,OCO,Alpine,3.0,3.0,Finished,2023,Monaco,6,Race,True,10.666666666666666,12.0,0.2,26.11675,256.80755555555555,164.4526666666667
44,HAM,Mercedes,5.0,4.0,Finished,2023,Monaco,6,Race,True,6.0,8.4,0.2,27.32766666666667,321.3865333333334,202.05592000000001
63,RUS,Mercedes,8.0,5.0,Finished,2023,Monaco,6,Race,True,4.666666666666667,5.6,0.0,27.32766666666667,321.3865333333334,202.05592000000001
16,LEC,Ferrari,6.0,6.0,Finished,2023,Monaco,6,Race,True,5.666666666666667,8.0,0.2,25.7885,322.22133333333335,202.2303
10,GAS,Alpine,7.0,7.0,Finished,2023,Monaco,6,Race,True,6.666666666666667,9.8,0.0,26.11675,256.80755555555555,164.4526666666667
55,SAI,Ferrari,4.0,8.0,Finished,2023,Monaco,6,Race,True,6.0,5.2,0.0,25.7885,322.22133333333335,202.2303
4,NOR,McLaren,10.0,9.0,Lapped,2023,Monaco,6,Race,True,15.666666666666666,12.8,0.0,27.968,365.3085238095238,231.18328095238093
81,PIA,McLaren,11.0,10.0,Lapped,2023,Monaco,6,Race,True,15.0,13.0,0.0,27.968,365.3085238095238,231.18328095238093
77,BOT,Alfa Romeo,15.0,11.0,Lapped,2023,Monaco,6,Race,True,16.0,15.4,0.2,27.31233333333333,237.53486363636364,152.1444781818182
21,DEV,AlphaTauri,12.0,12.0,Lapped,2023,Monaco,6,Race,True,16.333333333333332,14.8,0.4,28.914,240.26225,153.43249
24,ZHO,Alfa Romeo,19.0,13.0,Lapped,2023,Monaco,6,Race,True,13.333333333333334,15.4,0.2,27.31233333333333,237.53486363636364,152.1444781818182
23,ALB,Williams,13.0,14.0,Lapped,2023,Monaco,6,Race,True,16.666666666666668,16.2,0.2,25.6806,118.9691111111111,80.6491
22,TSU,AlphaTauri,9.0,15.0,Lapped,2023,Monaco,6,Race,True,13.666666666666666,14.2,0.2,28.914,240.26225,153.43249
11,PER,Red Bull Racing,20.0,16.0,Lapped,2023,Monaco,6,Race,True,1.3333333333333333,1.4,0.0,26.726333333333333,320.6504166666667,201.4721
27,HUL,Haas F1 Team,18.0,17.0,Lapped,2023,Monaco,6,Race,True,14.0,14.4,0.2,35.98775,326.0332333333333,205.42597333333333
2,SAR,Williams,16.0,18.0,Lapped,2023,Monaco,6,Race,True,16.0,15.2,0.0,25.6806,118.9691111111111,80.6491
20,MAG,Haas F1 Team,17.0,19.0,Retired,2023,Monaco,6,Race,False,14.0,14.4,0.0,35.98775,326.0332333333333,205.42597333333333
18,STR,Aston Martin,14.0,20.0,Retired,2023,Monaco,6,Race,False,5.666666666666667,5.6,0.0,87.725,420.51966666666664,262.1476
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Spanish,7,Race,True,6.333333333333333,4.4,0.0,21.93325,23.213111111111115,201.8885166666667
44,HAM,Mercedes,4.0,2.0,Finished,2023,Spanish,7,Race,True,5.0,5.4,0.0,22.397750000000002,23.429555555555556,202.48645333333337
63,RUS,Mercedes,12.0,3.0,Finished,2023,Spanish,7,Race,True,3.6666666666666665,4.2,0.0,22.397750000000002,23.429555555555556,202.48645333333337
11,PER,Red Bull Racing,11.0,4.0,Finished,2023,Spanish,7,Race,True,6.0,4.2,0.0,21.93325,23.213111111111115,201.8885166666667
55,SAI,Ferrari,2.0,5.0,Finished,2023,Spanish,7,Race,True,7.0,6.2,0.0,22.38625,23.1375,202.50289999999998
18,STR,Aston Martin,5.0,6.0,Finished,2023,Spanish,7,Race,True,11.333333333333334,8.8,0.2,22.70675,44.50466666666667,274.6583
14,ALO,Aston Martin,8.0,7.0,Finished,2023,Spanish,7,Race,True,9.333333333333334,8.6,0.2,22.70675,44.50466666666667,274.6583
31,OCO,Alpine,6.0,8.0,Finished,2023,Spanish,7,Race,True,6.333333333333333,8.4,0.0,23.30825,22.970138888888886,163.45788333333334
24,ZHO,Alfa Romeo,13.0,9.0,Finished,2023,Spanish,7,Race,True,13.333333333333334,14.4,0.2,23.4995,23.991944444444442,152.31766484848484
10,GAS,Alpine,10.0,10.0,Finished,2023,Spanish,7,Race,True,6.0,7.0,0.0,23.30825,22.970138888888886,163.45788333333334
16,LEC,Ferrari,19.0,11.0,Finished,2023,Spanish,7,Race,True,6.333333333333333,6.2,0.0,22.38625,23.1375,202.50289999999998
22,TSU,AlphaTauri,15.0,12.0,Finished,2023,Spanish,7,Race,True,15.0,15.2,0.2,22.17175,24.10666666666667,154.19165000000004
81,PIA,McLaren,9.0,13.0,Lapped,2023,Spanish,7,Race,True,12.666666666666666,13.2,0.0,25.5496,23.93433333333333,230.2556476190476
21,DEV,AlphaTauri,14.0,14.0,Lapped,2023,Spanish,7,Race,True,13.0,13.6,0.0,22.17175,24.10666666666667,154.19165000000004
27,HUL,Haas F1 Team,7.0,15.0,Lapped,2023,Spanish,7,Race,True,17.0,15.6,0.2,23.20566666666667,28.899416666666667,207.06118999999998
23,ALB,Williams,18.0,16.0,Lapped,2023,Spanish,7,Race,True,17.333333333333332,16.4,0.0,23.4055,27.474033333333335,80.76138666666665
4,NOR,McLaren,3.0,17.0,Lapped,2023,Spanish,7,Race,True,10.666666666666666,13.6,0.0,25.5496,23.93433333333333,230.2556476190476
20,MAG,Haas F1 Team,17.0,18.0,Lapped,2023,Spanish,7,Race,True,17.0,15.2,0.2,23.20566666666667,28.899416666666667,207.06118999999998
77,BOT,Alfa Romeo,16.0,19.0,Lapped,2023,Spanish,7,Race,True,11.0,12.4,0.0,23.4995,23.991944444444442,152.31766484848484
2,SAR,Williams,20.0,20.0,Lapped,2023,Spanish,7,Race,True,16.0,16.4,0.0,23.4055,27.474033333333335,80.76138666666665
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Canadian,8,Race,True,7.0,4.8,0.0,23.52675,23.65202777777778,202.1221666666667
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Canadian,8,Race,True,11.0,9.4,0.2,23.95275,44.35758333333333,274.39815
44,HAM,Mercedes,3.0,3.0,Finished,2023,Canadian,8,Race,True,3.3333333333333335,4.0,0.0,45.69166666666666,23.994472222222225,202.77700333333334
16,LEC,Ferrari,10.0,4.0,Finished,2023,Canadian,8,Race,True,8.0,7.4,0.0,24.2965,23.446250000000003,202.96775
55,SAI,Ferrari,11.0,5.0,Finished,2023,Canadian,8,Race,True,6.666666666666667,6.8,0.0,24.2965,23.446250000000003,202.96775
11,PER,Red Bull Racing,12.0,6.0,Finished,2023,Canadian,8,Race,True,2.0,4.6,0.0,23.52675,23.65202777777778,202.1221666666667
23,ALB,Williams,9.0,7.0,Finished,2023,Canadian,8,Race,True,18.0,17.6,0.0,25.062,28.252533333333332,81.19868666666666
31,OCO,Alpine,6.0,8.0,Finished,2023,Canadian,8,Race,True,8.333333333333334,7.4,0.0,24.933500000000002,23.873333333333335,163.96953333333335
18,STR,Aston Martin,16.0,9.0,Finished,2023,Canadian,8,Race,True,5.0,7.4,0.2,23.95275,44.35758333333333,274.39815
77,BOT,Alfa Romeo,14.0,10.0,Finished,2023,Canadian,8,Race,True,13.666666666666666,13.6,0.0,25.259666666666664,24.601277777777778,152.68328484848485
81,PIA,McLaren,8.0,11.0,Finished,2023,Canadian,8,Race,True,13.333333333333334,13.6,0.0,24.4215,25.562866666666668,229.88863428571426
10,GAS,Alpine,15.0,12.0,Finished,2023,Canadian,8,Race,True,8.666666666666666,7.2,0.0,24.933500000000002,23.873333333333335,163.96953333333335
4,NOR,McLaren,7.0,13.0,Finished,2023,Canadian,8,Race,True,13.666666666666666,12.0,0.0,24.4215,25.562866666666668,229.88863428571426
22,TSU,AlphaTauri,19.0,14.0,Finished,2023,Canadian,8,Race,True,13.666666666666666,14.2,0.0,25.01925,24.66925,154.3745
27,HUL,Haas F1 Team,5.0,15.0,Lapped,2023,Canadian,8,Race,True,17.333333333333332,16.8,0.2,24.63625,27.363972222222227,207.45862333333335
24,ZHO,Alfa Romeo,20.0,16.0,Lapped,2023,Canadian,8,Race,True,12.666666666666666,12.4,0.0,25.259666666666664,24.601277777777778,152.68328484848485
20,MAG,Haas F1 Team,13.0,17.0,Lapped,2023,Canadian,8,Race,True,16.0,16.8,0.2,24.63625,27.363972222222227,207.45862333333335
21,DEV,AlphaTauri,17.0,18.0,Lapped,2023,Canadian,8,Race,True,13.333333333333334,13.4,0.0,25.01925,24.66925,154.3745
63,RUS,Mercedes,4.0,19.0,Retired,2023,Canadian,8,Race,False,2.6666666666666665,3.4,0.0,45.69166666666666,23.994472222222225,202.77700333333334
2,SAR,Williams,18.0,20.0,Retired,2023,Canadian,8,Race,False,14.333333333333334,15.0,0.0,25.062,28.252533333333332,81.19868666666666
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Austrian,9,Race,True,3.6666666666666665,5.6,0.0,20.145142857142854,24.06211111111111,23.019866666666665
16,LEC,Ferrari,2.0,2.0,Finished,2023,Austrian,9,Race,True,6.666666666666667,6.6,0.0,22.01,24.157083333333333,23.219050000000003
11,PER,Red Bull Racing,15.0,3.0,Finished,2023,Austrian,9,Race,True,2.6666666666666665,2.6,0.0,20.145142857142854,24.06211111111111,23.019866666666665
4,NOR,McLaren,4.0,4.0,Finished,2023,Austrian,9,Race,True,13.666666666666666,12.8,0.0,21.921714285714284,25.979699999999998,24.35482
14,ALO,Aston Martin,7.0,5.0,Finished,2023,Austrian,9,Race,True,6.0,8.8,0.2,20.736142857142855,44.79483333333334,36.0347
55,SAI,Ferrari,3.0,6.0,Finished,2023,Austrian,9,Race,True,3.6666666666666665,5.4,0.0,22.01,24.157083333333333,23.219050000000003
63,RUS,Mercedes,11.0,7.0,Finished,2023,Austrian,9,Race,True,8.333333333333334,6.4,0.2,21.309833333333334,31.805694444444445,27.675616666666667
44,HAM,Mercedes,5.0,8.0,Finished,2023,Austrian,9,Race,True,9.666666666666666,6.8,0.2,21.309833333333334,31.805694444444445,27.675616666666667
18,STR,Aston Martin,6.0,9.0,Finished,2023,Austrian,9,Race,True,5.333333333333333,5.8,0.0,20.736142857142855,44.79483333333334,36.0347
10,GAS,Alpine,9.0,10.0,Finished,2023,Austrian,9,Race,True,10.0,9.0,0.0,22.762666666666664,24.78616666666667,23.430433333333333
23,ALB,Williams,10.0,11.0,Finished,2023,Austrian,9,Race,True,15.666666666666666,16.2,0.2,21.0368,24.716033333333332,26.17792
24,ZHO,Alfa Romeo,17.0,12.0,Lapped,2023,Austrian,9,Race,True,15.0,13.4,0.0,22.424000000000003,25.35716666666666,24.147
2,SAR,Williams,18.0,13.0,Lapped,2023,Austrian,9,Race,True,12.666666666666666,14.8,0.2,21.0368,24.716033333333332,26.17792
31,OCO,Alpine,12.0,14.0,Lapped,2023,Austrian,9,Race,True,10.0,9.6,0.0,22.762666666666664,24.78616666666667,23.430433333333333
77,BOT,Alfa Romeo,14.0,15.0,Lapped,2023,Austrian,9,Race,True,12.666666666666666,13.2,0.0,22.424000000000003,25.35716666666666,24.147
81,PIA,McLaren,13.0,16.0,Lapped,2023,Austrian,9,Race,True,9.333333333333334,11.6,0.0,21.921714285714284,25.979699999999998,24.35482
21,DEV,AlphaTauri,20.0,17.0,Lapped,2023,Austrian,9,Race,True,15.333333333333334,14.6,0.0,21.865857142857145,25.368333333333336,23.9022
20,MAG,Haas F1 Team,19.0,18.0,Lapped,2023,Austrian,9,Race,True,16.666666666666668,16.8,0.2,22.6118,27.94322222222222,26.908033333333332
22,TSU,AlphaTauri,16.0,19.0,Lapped,2023,Austrian,9,Race,True,16.333333333333332,15.0,0.0,21.865857142857145,25.368333333333336,23.9022
27,HUL,Haas F1 Team,8.0,20.0,Retired,2023,Austrian,9,Race,False,16.666666666666668,16.6,0.0,22.6118,27.94322222222222,26.908033333333332
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,British,10,Race,True,3.3333333333333335,3.0,0.0,28.5545,21.86838095238095,22.925595238095237
4,NOR,McLaren,2.0,2.0,Finished,2023,British,10,Race,True,11.0,12.2,0.0,28.5385,23.964271428571426,24.60636285714286
44,HAM,Mercedes,7.0,3.0,Finished,2023,British,10,Race,True,11.333333333333334,8.0,0.2,29.326999999999998,29.79975,27.796983333333333
81,PIA,McLaren,3.0,4.0,Finished,2023,British,10,Race,True,7.333333333333333,9.2,0.0,28.5385,23.964271428571426,24.60636285714286
63,RUS,Mercedes,6.0,5.0,Finished,2023,British,10,Race,True,6.0,8.0,0.2,29.326999999999998,29.79975,27.796983333333333
11,PER,Red Bull Racing,15.0,6.0,Finished,2023,British,10,Race,True,1.6666666666666667,2.4,0.0,28.5545,21.86838095238095,22.925595238095237
14,ALO,Aston Martin,9.0,7.0,Finished,2023,British,10,Race,True,7.666666666666667,6.4,0.0,28.616500000000002,22.465214285714286,35.55232857142857
23,ALB,Williams,8.0,8.0,Finished,2023,British,10,Race,True,14.666666666666666,14.2,0.2,29.241500000000002,23.1681,26.171280000000003
16,LEC,Ferrari,4.0,9.0,Finished,2023,British,10,Race,True,4.333333333333333,5.6,0.0,28.624333333333336,22.897583333333333,23.329050000000002
55,SAI,Ferrari,5.0,10.0,Finished,2023,British,10,Race,True,5.666666666666667,5.2,0.0,28.624333333333336,22.897583333333333,23.329050000000002
2,SAR,Williams,14.0,11.0,Finished,2023,British,10,Race,True,10.666666666666666,11.8,0.2,29.241500000000002,23.1681,26.171280000000003
77,BOT,Alfa Romeo,20.0,12.0,Finished,2023,British,10,Race,True,14.333333333333334,14.4,0.0,30.472,23.727722222222223,24.297500000000003
27,HUL,Haas F1 Team,11.0,13.0,Finished,2023,British,10,Race,True,18.333333333333332,17.6,0.2,30.03,23.484572222222223,25.867993333333335
18,STR,Aston Martin,12.0,14.0,Finished,2023,British,10,Race,True,7.0,6.4,0.0,28.616500000000002,22.465214285714286,35.55232857142857
24,ZHO,Alfa Romeo,17.0,15.0,Finished,2023,British,10,Race,True,13.0,13.0,0.0,30.472,23.727722222222223,24.297500000000003
22,TSU,AlphaTauri,16.0,16.0,Finished,2023,British,10,Race,True,18.0,16.4,0.0,28.42525,23.018952380952385,24.178571428571427
21,DEV,AlphaTauri,18.0,17.0,Finished,2023,British,10,Race,True,17.333333333333332,16.8,0.0,28.42525,23.018952380952385,24.178571428571427
10,GAS,Alpine,10.0,18.0,Retired,2023,British,10,Race,False,12.0,10.8,0.0,28.5,23.66813888888889,23.863233333333334
20,MAG,Haas F1 Team,19.0,19.0,Retired,2023,British,10,Race,False,17.0,16.6,0.2,30.03,23.484572222222223,25.867993333333335
31,OCO,Alpine,13.0,20.0,Retired,2023,British,10,Race,False,14.0,12.4,0.2,28.5,23.66813888888889,23.863233333333334
1,VER,Red Bull Racing,2.0,1.0,Finished,2023,Hungarian,11,Race,True,3.3333333333333335,3.4,0.0,21.4525,24.075464285714286,24.17719523809524
