DriverNumber,Abbreviation,TeamName,GridPosition,Position,Status,Year,Event,RoundNumber,SessionType,Finished,AvgTeamFinishLast3,AvgTeamFinishLast5,TeamDNFRateLast5,AvgTeamPitTime,AvgTeamPitTimeLast3,AvgTeamPitTimeLast5
31,OCO,Alpine,9.0,18.0,Retired,2023,Bahrain,1,Race,False,,,,31.09,,
16,LEC,Ferrari,3.0,19.0,Retired,2023,Bahrain,1,Race,False,,,,24.43,,
81,PIA,McLaren,18.0,20.0,Retired,2023,Bahrain,1,Race,False,,,,32.61,,
11,PER,Red Bull Racing,1.0,1.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.76,,
1,VER,Red Bull Racing,15.0,2.0,Finished,2023,Saudi Arabian,2,Race,True,1.333,,,20.76,,
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Saudi Arabian,2,Race,True,,,,24.01,,
63,RUS,Mercedes,3.0,4.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.94,,
44,HAM,Mercedes,7.0,5.0,Finished,2023,Saudi Arabian,2,Race,True,5.333,,,20.94,,
55,SAI,Ferrari,4.0,6.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.06,,
16,LEC,Ferrari,12.0,7.0,Finished,2023,Saudi Arabian,2,Race,True,9.667,,,20.06,,
31,OCO,Alpine,6.0,8.0,Finished,2023,Saudi Arabian,2,Race,True,,,,20.75,,
10,GAS,Alpine,9.0,9.0,Finished,2023,Saudi Arabian,2,Race,True,11.667,,,20.75,,
20,MAG,Haas F1 Team,13.0,10.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.22,,
22,TSU,AlphaTauri,16.0,11.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.26,,
27,HUL,Haas F1 Team,10.0,12.0,Finished,2023,Saudi Arabian,2,Race,True,12.667,,,21.22,,
24,ZHO,Alfa Romeo,11.0,13.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.67,,
21,DEV,AlphaTauri,18.0,14.0,Finished,2023,Saudi Arabian,2,Race,True,12.0,,,21.26,,
81,PIA,McLaren,8.0,15.0,Finished,2023,Saudi Arabian,2,Race,True,,,,27.38,,
2,SAR,Williams,20.0,16.0,Finished,2023,Saudi Arabian,2,Race,True,,,,21.22,,
4,NOR,McLaren,19.0,17.0,Finished,2023,Saudi Arabian,2,Race,True,17.333,,,27.38,,
77,BOT,Alfa Romeo,14.0,18.0,Lapped,2023,Saudi Arabian,2,Race,True,12.333,,,21.67,,
23,ALB,Williams,17.0,19.0,Retired,2023,Saudi Arabian,2,Race,False,12.667,,,21.22,,
18,STR,Aston Martin,5.0,20.0,Retired,2023,Saudi Arabian,2,Race,False,4.0,,,24.01,,
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Australian,3,Race,True,1.667,,,919.04,,
44,HAM,Mercedes,3.0,2.0,Finished,2023,Australian,3,Race,True,5.333,,,921.2,,
14,ALO,Aston Martin,4.0,3.0,Finished,2023,Australian,3,Race,True,9.667,,,1215.77,,
18,STR,Aston Martin,6.0,4.0,Finished,2023,Australian,3,Race,True,8.667,7.0,0.2,1215.77,,
11,PER,Red Bull Racing,20.0,5.0,Finished,2023,Australian,3,Race,True,1.333,1.4,0.0,919.04,,
4,NOR,McLaren,13.0,6.0,Finished,2023,Australian,3,Race,True,17.333,,,1052.09,,
27,HUL,Haas F1 Team,10.0,7.0,Finished,2023,Australian,3,Race,True,12.333,,,927.39,,
81,PIA,McLaren,16.0,8.0,Finished,2023,Australian,3,Race,True,12.667,15.0,0.2,1052.09,,
24,ZHO,Alfa Romeo,17.0,9.0,Finished,2023,Australian,3,Race,True,15.667,,,667.94,,
22,TSU,AlphaTauri,12.0,10.0,Finished,2023,Australian,3,Race,True,13.0,,,677.38,,
77,BOT,Alfa Romeo,19.0,11.0,Finished,2023,Australian,3,Race,True,13.333,12.8,0.0,667.94,,
55,SAI,Ferrari,5.0,12.0,Finished,2023,Australian,3,Race,True,10.667,,,923.04,,
10,GAS,Alpine,9.0,13.0,Retired,2023,Australian,3,Race,False,11.667,,,727.63,,
31,OCO,Alpine,11.0,14.0,Retired,2023,Australian,3,Race,False,10.0,11.4,0.4,727.63,,
21,DEV,AlphaTauri,15.0,15.0,Retired,2023,Australian,3,Race,False,11.667,12.0,0.0,677.38,,
2,SAR,Williams,18.0,16.0,Retired,2023,Australian,3,Race,False,15.667,,,300.17,,
20,MAG,Haas F1 Team,14.0,17.0,Retired,2023,Australian,3,Race,False,9.667,11.4,0.0,927.39,,
63,RUS,Mercedes,2.0,18.0,Retired,2023,Australian,3,Race,False,3.667,4.6,0.0,921.2,,
23,ALB,Williams,8.0,19.0,Retired,2023,Australian,3,Race,False,17.0,14.6,0.4,300.17,,
16,LEC,Ferrari,7.0,20.0,Retired,2023,Australian,3,Race,False,8.333,9.6,0.2,923.04,,
11,PER,Red Bull Racing,3.0,1.0,Finished,2023,Azerbaijan,4,Race,True,2.667,2.2,0.0,20.62,321.48,
1,VER,Red Bull Racing,2.0,2.0,Finished,2023,Azerbaijan,4,Race,True,2.333,2.0,0.0,20.62,321.48,
16,LEC,Ferrari,1.0,3.0,Finished,2023,Azerbaijan,4,Race,True,13.0,12.8,0.4,21.46,322.51,
14,ALO,Aston Martin,6.0,4.0,Finished,2023,Azerbaijan,4,Race,True,9.0,7.2,0.2,23.15,421.65,
55,SAI,Ferrari,4.0,5.0,Finished,2023,Azerbaijan,4,Race,True,11.667,9.6,0.2,21.46,322.51,
44,HAM,Mercedes,5.0,6.0,Finished,2023,Azerbaijan,4,Race,True,8.333,7.2,0.2,20.7,322.44,
18,STR,Aston Martin,9.0,7.0,Finished,2023,Azerbaijan,4,Race,True,3.667,6.8,0.2,23.15,421.65,
63,RUS,Mercedes,11.0,8.0,Finished,2023,Azerbaijan,4,Race,True,8.667,7.0,0.2,20.7,322.44,
4,NOR,McLaren,7.0,9.0,Finished,2023,Azerbaijan,4,Race,True,10.333,13.2,0.2,20.66,370.69,
22,TSU,AlphaTauri,8.0,10.0,Finished,2023,Azerbaijan,4,Race,True,13.0,12.8,0.2,20.48,241.25,
81,PIA,McLaren,10.0,11.0,Finished,2023,Azerbaijan,4,Race,True,7.667,11.0,0.0,20.66,370.69,
23,ALB,Williams,12.0,12.0,Finished,2023,Azerbaijan,4,Race,True,18.0,16.4,0.6,21.07,115.5,
20,MAG,Haas F1 Team,16.0,13.0,Finished,2023,Azerbaijan,4,Race,True,12.0,12.2,0.2,27.81,325.47,
10,GAS,Alpine,17.0,14.0,Finished,2023,Azerbaijan,4,Race,True,12.0,12.4,0.6,20.6,259.82,
31,OCO,Alpine,19.0,15.0,Finished,2023,Azerbaijan,4,Race,True,13.667,11.6,0.4,20.6,259.82,
2,SAR,Williams,14.0,16.0,Finished,2023,Azerbaijan,4,Race,True,15.667,16.4,0.6,21.07,115.5,
27,HUL,Haas F1 Team,20.0,17.0,Lapped,2023,Azerbaijan,4,Race,True,12.333,11.8,0.2,27.81,325.47,
77,BOT,Alfa Romeo,13.0,18.0,Lapped,2023,Azerbaijan,4,Race,True,12.667,13.4,0.0,21.67,238.69,
24,ZHO,Alfa Romeo,15.0,19.0,Retired,2023,Azerbaijan,4,Race,False,12.667,13.8,0.0,21.67,238.69,
21,DEV,AlphaTauri,18.0,20.0,Retired,2023,Azerbaijan,4,Race,False,11.667,12.0,0.2,20.48,241.25,
1,VER,Red Bull Racing,9.0,1.0,Finished,2023,Miami,5,Race,True,2.667,2.2,0.0,22.3,320.14,
11,PER,Red Bull Racing,1.0,2.0,Finished,2023,Miami,5,Race,True,1.333,2.0,0.0,22.3,320.14,
14,ALO,Aston Martin,2.0,3.0,Finished,2023,Miami,5,Race,True,5.0,7.6,0.2,22.64,420.98,
63,RUS,Mercedes,6.0,4.0,Finished,2023,Miami,5,Race,True,10.667,7.8,0.2,22.26,320.95,
55,SAI,Ferrari,3.0,5.0,Finished,2023,Miami,5,Race,True,9.333,9.4,0.2,22.16,321.52,
44,HAM,Mercedes,13.0,6.0,Finished,2023,Miami,5,Race,True,6.0,7.6,0.2,22.26,320.95,
16,LEC,Ferrari,7.0,7.0,Finished,2023,Miami,5,Race,True,4.333,9.0,0.2,22.16,321.52,
10,GAS,Alpine,5.0,8.0,Finished,2023,Miami,5,Race,True,14.333,13.0,0.4,22.2,256.33,
31,OCO,Alpine,8.0,9.0,Finished,2023,Miami,5,Race,True,12.333,12.8,0.4,22.2,256.33,
20,MAG,Haas F1 Team,4.0,10.0,Finished,2023,Miami,5,Race,True,15.667,13.2,0.2,22.9,325.47,
22,TSU,AlphaTauri,17.0,11.0,Finished,2023,Miami,5,Race,True,15.0,13.8,0.4,22.92,239.71,
18,STR,Aston Martin,18.0,12.0,Finished,2023,Miami,5,Race,True,4.667,4.2,0.0,22.64,420.98,
77,BOT,Alfa Romeo,10.0,13.0,Finished,2023,Miami,5,Race,True,16.0,15.0,0.2,22.99,237.09,
23,ALB,Williams,11.0,14.0,Finished,2023,Miami,5,Race,True,15.667,16.4,0.6,35.67,114.15,
27,HUL,Haas F1 Team,12.0,15.0,Finished,2023,Miami,5,Race,True,13.333,12.8,0.2,22.9,325.47,
24,ZHO,Alfa Romeo,14.0,16.0,Finished,2023,Miami,5,Race,True,16.667,14.0,0.2,22.99,237.09,
4,NOR,McLaren,16.0,17.0,Finished,2023,Miami,5,Race,True,9.333,10.2,0.0,23.17,366.71,
21,DEV,AlphaTauri,15.0,18.0,Finished,2023,Miami,5,Race,True,13.667,13.2,0.4,22.92,239.71,
81,PIA,McLaren,19.0,19.0,Lapped,2023,Miami,5,Race,True,12.333,10.2,0.0,23.17,366.71,
2,SAR,Williams,20.0,20.0,Lapped,2023,Miami,5,Race,True,14.0,15.4,0.4,35.67,114.15,
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Monaco,6,Race,True,1.667,2.2,0.0,26.73,320.65,201.47
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Monaco,6,Race,True,7.333,6.0,0.0,87.72,420.52,262.15
31,OCO,Alpine,3.0,3.0,Finished,2023,Monaco,6,Race,True,10.667,12.0,0.2,26.12,256.81,164.45
44,HAM,Mercedes,5.0,4.0,Finished,2023,Monaco,6,Race,True,6.0,8.4,0.2,27.33,321.39,202.06
63,RUS,Mercedes,8.0,5.0,Finished,2023,Monaco,6,Race,True,4.667,5.6,0.0,27.33,321.39,202.06
16,LEC,Ferrari,6.0,6.0,Finished,2023,Monaco,6,Race,True,5.667,8.0,0.2,25.79,322.22,202.23
10,GAS,Alpine,7.0,7.0,Finished,2023,Monaco,6,Race,True,6.667,9.8,0.0,26.12,256.81,164.45
55,SAI,Ferrari,4.0,8.0,Finished,2023,Monaco,6,Race,True,6.0,5.2,0.0,25.79,322.22,202.23
4,NOR,McLaren,10.0,9.0,Lapped,2023,Monaco,6,Race,True,15.667,12.8,0.0,27.97,365.31,231.18
81,PIA,McLaren,11.0,10.0,Lapped,2023,Monaco,6,Race,True,15.0,13.0,0.0,27.97,365.31,231.18
77,BOT,Alfa Romeo,15.0,11.0,Lapped,2023,Monaco,6,Race,True,16.0,15.4,0.2,27.31,237.53,152.14
21,DEV,AlphaTauri,12.0,12.0,Lapped,2023,Monaco,6,Race,True,16.333,14.8,0.4,28.91,240.26,153.43
24,ZHO,Alfa Romeo,19.0,13.0,Lapped,2023,Monaco,6,Race,True,13.333,15.4,0.2,27.31,237.53,152.14
23,ALB,Williams,13.0,14.0,Lapped,2023,Monaco,6,Race,True,16.667,16.2,0.2,25.68,118.97,80.65
22,TSU,AlphaTauri,9.0,15.0,Lapped,2023,Monaco,6,Race,True,13.667,14.2,0.2,28.91,240.26,153.43
11,PER,Red Bull Racing,20.0,16.0,Lapped,2023,Monaco,6,Race,True,1.333,1.4,0.0,26.73,320.65,201.47
27,HUL,Haas F1 Team,18.0,17.0,Lapped,2023,Monaco,6,Race,True,14.0,14.4,0.2,35.99,326.03,205.43
2,SAR,Williams,16.0,18.0,Lapped,2023,Monaco,6,Race,True,16.0,15.2,0.0,25.68,118.97,80.65
20,MAG,Haas F1 Team,17.0,19.0,Retired,2023,Monaco,6,Race,False,14.0,14.4,0.0,35.99,326.03,205.43
18,STR,Aston Martin,14.0,20.0,Retired,2023,Monaco,6,Race,False,5.667,5.6,0.0,87.72,420.52,262.15
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Spanish,7,Race,True,6.333,4.4,0.0,21.93,23.22,201.89
44,HAM,Mercedes,4.0,2.0,Finished,2023,Spanish,7,Race,True,5.0,5.4,0.0,22.4,23.43,202.49
63,RUS,Mercedes,12.0,3.0,Finished,2023,Spanish,7,Race,True,3.667,4.2,0.0,22.4,23.43,202.49
11,PER,Red Bull Racing,11.0,4.0,Finished,2023,Spanish,7,Race,True,6.0,4.2,0.0,21.93,23.22,201.89
55,SAI,Ferrari,2.0,5.0,Finished,2023,Spanish,7,Race,True,7.0,6.2,0.0,22.39,23.14,202.5
18,STR,Aston Martin,5.0,6.0,Finished,2023,Spanish,7,Race,True,11.333,8.8,0.2,22.71,44.5,274.66
14,ALO,Aston Martin,8.0,7.0,Finished,2023,Spanish,7,Race,True,9.333,8.6,0.2,22.71,44.5,274.66
31,OCO,Alpine,6.0,8.0,Finished,2023,Spanish,7,Race,True,6.333,8.4,0.0,23.31,22.97,163.46
24,ZHO,Alfa Romeo,13.0,9.0,Finished,2023,Spanish,7,Race,True,13.333,14.4,0.2,23.5,23.99,152.32
10,GAS,Alpine,10.0,10.0,Finished,2023,Spanish,7,Race,True,6.0,7.0,0.0,23.31,22.97,163.46
16,LEC,Ferrari,19.0,11.0,Finished,2023,Spanish,7,Race,True,6.333,6.2,0.0,22.39,23.14,202.5
22,TSU,AlphaTauri,15.0,12.0,Finished,2023,Spanish,7,Race,True,15.0,15.2,0.2,22.17,24.1,154.19
81,PIA,McLaren,9.0,13.0,Lapped,2023,Spanish,7,Race,True,12.667,13.2,0.0,25.55,23.93,230.25
21,DEV,AlphaTauri,14.0,14.0,Lapped,2023,Spanish,7,Race,True,13.0,13.6,0.0,22.17,24.1,154.19
27,HUL,Haas F1 Team,7.0,15.0,Lapped,2023,Spanish,7,Race,True,17.0,15.6,0.2,23.21,28.9,207.06
23,ALB,Williams,18.0,16.0,Lapped,2023,Spanish,7,Race,True,17.333,16.4,0.0,23.41,27.47,80.76
4,NOR,McLaren,3.0,17.0,Lapped,2023,Spanish,7,Race,True,10.667,13.6,0.0,25.55,23.93,230.25
20,MAG,Haas F1 Team,17.0,18.0,Lapped,2023,Spanish,7,Race,True,17.0,15.2,0.2,23.21,28.9,207.06
77,BOT,Alfa Romeo,16.0,19.0,Lapped,2023,Spanish,7,Race,True,11.0,12.4,0.0,23.5,23.99,152.32
2,SAR,Williams,20.0,20.0,Lapped,2023,Spanish,7,Race,True,16.0,16.4,0.0,23.41,27.47,80.76
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Canadian,8,Race,True,7.0,4.8,0.0,23.53,23.65,202.12
14,ALO,Aston Martin,2.0,2.0,Finished,2023,Canadian,8,Race,True,11.0,9.4,0.2,23.95,44.36,274.4
44,HAM,Mercedes,3.0,3.0,Finished,2023,Canadian,8,Race,True,3.333,4.0,0.0,45.69,24.0,202.78
16,LEC,Ferrari,10.0,4.0,Finished,2023,Canadian,8,Race,True,8.0,7.4,0.0,24.3,23.45,202.97
55,SAI,Ferrari,11.0,5.0,Finished,2023,Canadian,8,Race,True,6.667,6.8,0.0,24.3,23.45,202.97
11,PER,Red Bull Racing,12.0,6.0,Finished,2023,Canadian,8,Race,True,2.0,4.6,0.0,23.53,23.65,202.12
23,ALB,Williams,9.0,7.0,Finished,2023,Canadian,8,Race,True,18.0,17.6,0.0,25.06,28.25,81.2
31,OCO,Alpine,6.0,8.0,Finished,2023,Canadian,8,Race,True,8.333,7.4,0.0,24.93,23.88,163.97
18,STR,Aston Martin,16.0,9.0,Finished,2023,Canadian,8,Race,True,5.0,7.4,0.2,23.95,44.36,274.4
77,BOT,Alfa Romeo,14.0,10.0,Finished,2023,Canadian,8,Race,True,13.667,13.6,0.0,25.26,24.6,152.68
81,PIA,McLaren,8.0,11.0,Finished,2023,Canadian,8,Race,True,13.333,13.6,0.0,24.42,25.56,229.89
10,GAS,Alpine,15.0,12.0,Finished,2023,Canadian,8,Race,True,8.667,7.2,0.0,24.93,23.88,163.97
4,NOR,McLaren,7.0,13.0,Finished,2023,Canadian,8,Race,True,13.667,12.0,0.0,24.42,25.56,229.89
22,TSU,AlphaTauri,19.0,14.0,Finished,2023,Canadian,8,Race,True,13.667,14.2,0.0,25.02,24.67,154.37
27,HUL,Haas F1 Team,5.0,15.0,Lapped,2023,Canadian,8,Race,True,17.333,16.8,0.2,24.64,27.37,207.46
24,ZHO,Alfa Romeo,20.0,16.0,Lapped,2023,Canadian,8,Race,True,12.667,12.4,0.0,25.26,24.6,152.68
20,MAG,Haas F1 Team,13.0,17.0,Lapped,2023,Canadian,8,Race,True,16.0,16.8,0.2,24.64,27.37,207.46
21,DEV,AlphaTauri,17.0,18.0,Lapped,2023,Canadian,8,Race,True,13.333,13.4,0.0,25.02,24.67,154.37
63,RUS,Mercedes,4.0,19.0,Retired,2023,Canadian,8,Race,False,2.667,3.4,0.0,45.69,24.0,202.78
2,SAR,Williams,18.0,20.0,Retired,2023,Canadian,8,Race,False,14.333,15.0,0.0,25.06,28.25,81.2
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,Austrian,9,Race,True,3.667,5.6,0.0,20.15,24.06,23.02
16,LEC,Ferrari,2.0,2.0,Finished,2023,Austrian,9,Race,True,6.667,6.6,0.0,22.01,24.16,23.22
11,PER,Red Bull Racing,15.0,3.0,Finished,2023,Austrian,9,Race,True,2.667,2.6,0.0,20.15,24.06,23.02
4,NOR,McLaren,4.0,4.0,Finished,2023,Austrian,9,Race,True,13.667,12.8,0.0,21.92,25.98,24.35
14,ALO,Aston Martin,7.0,5.0,Finished,2023,Austrian,9,Race,True,6.0,8.8,0.2,20.74,44.79,36.03
55,SAI,Ferrari,3.0,6.0,Finished,2023,Austrian,9,Race,True,3.667,5.4,0.0,22.01,24.16,23.22
63,RUS,Mercedes,11.0,7.0,Finished,2023,Austrian,9,Race,True,8.333,6.4,0.2,21.31,31.81,27.68
44,HAM,Mercedes,5.0,8.0,Finished,2023,Austrian,9,Race,True,9.667,6.8,0.2,21.31,31.81,27.68
18,STR,Aston Martin,6.0,9.0,Finished,2023,Austrian,9,Race,True,5.333,5.8,0.0,20.74,44.79,36.03
10,GAS,Alpine,9.0,10.0,Finished,2023,Austrian,9,Race,True,10.0,9.0,0.0,22.76,24.79,23.43
23,ALB,Williams,10.0,11.0,Finished,2023,Austrian,9,Race,True,15.667,16.2,0.2,21.04,24.72,26.18
24,ZHO,Alfa Romeo,17.0,12.0,Lapped,2023,Austrian,9,Race,True,15.0,13.4,0.0,22.42,25.36,24.15
2,SAR,Williams,18.0,13.0,Lapped,2023,Austrian,9,Race,True,12.667,14.8,0.2,21.04,24.72,26.18
31,OCO,Alpine,12.0,14.0,Lapped,2023,Austrian,9,Race,True,10.0,9.6,0.0,22.76,24.79,23.43
77,BOT,Alfa Romeo,14.0,15.0,Lapped,2023,Austrian,9,Race,True,12.667,13.2,0.0,22.42,25.36,24.15
81,PIA,McLaren,13.0,16.0,Lapped,2023,Austrian,9,Race,True,9.333,11.6,0.0,21.92,25.98,24.35
21,DEV,AlphaTauri,20.0,17.0,Lapped,2023,Austrian,9,Race,True,15.333,14.6,0.0,21.87,25.37,23.9
20,MAG,Haas F1 Team,19.0,18.0,Lapped,2023,Austrian,9,Race,True,16.667,16.8,0.2,22.61,27.95,26.91
22,TSU,AlphaTauri,16.0,19.0,Lapped,2023,Austrian,9,Race,True,16.333,15.0,0.0,21.87,25.37,23.9
27,HUL,Haas F1 Team,8.0,20.0,Retired,2023,Austrian,9,Race,False,16.667,16.6,0.0,22.61,27.95,26.91
1,VER,Red Bull Racing,1.0,1.0,Finished,2023,British,10,Race,True,3.333,3.0,0.0,28.55,21.87,22.93
4,NOR,McLaren,2.0,2.0,Finished,2023,British,10,Race,True,11.0,12.2,0.0,28.54,23.96,24.61
44,HAM,Mercedes,7.0,3.0,Finished,2023,British,10,Race,True,11.333,8.0,0.2,29.33,29.8,27.8
81,PIA,McLaren,3.0,4.0,Finished,2023,British,10,Race,True,7.333,9.2,0.0,28.54,23.96,24.61
63,RUS,Mercedes,6.0,5.0,Finished,2023,British,10,Race,True,6.0,8.0,0.2,29.33,29.8,27.8
11,PER,Red Bull Racing,15.0,6.0,Finished,2023,British,10,Race,True,1.667,2.4,0.0,28.55,21.87,22.93
14,ALO,Aston Martin,9.0,7.0,Finished,2023,British,10,Race,True,7.667,6.4,0.0,28.62,22.47,35.55
23,ALB,Williams,8.0,8.0,Finished,2023,British,10,Race,True,14.667,14.2,0.2,29.24,23.17,26.17
16,LEC,Ferrari,4.0,9.0,Finished,2023,British,10,Race,True,4.333,5.6,0.0,28.62,22.9,23.33
55,SAI,Ferrari,5.0,10.0,Finished,2023,British,10,Race,True,5.667,5.2,0.0,28.62,22.9,23.33
2,SAR,Williams,14.0,11.0,Finished,2023,British,10,Race,True,10.667,11.8,0.2,29.24,23.17,26.17
77,BOT,Alfa Romeo,20.0,12.0,Finished,2023,British,10,Race,True,14.333,14.4,0.0,30.47,23.73,24.3
27,HUL,Haas F1 Team,11.0,13.0,Finished,2023,British,10,Race,True,18.333,17.6,0.2,30.03,23.49,25.87
18,STR,Aston Martin,12.0,14.0,Finished,2023,British,10,Race,True,7.0,6.4,0.0,28.62,22.47,35.55
24,ZHO,Alfa Romeo,17.0,15.0,Finished,2023,British,10,Race,True,13.0,13.0,0.0,30.47,23.73,24.3
22,TSU,AlphaTauri,16.0,16.0,Finished,2023,British,10,Race,True,18.0,16.4,0.0,28.43,23.02,24.18
21,DEV,AlphaTauri,18.0,17.0,Finished,2023,British,10,Race,True,17.333,16.8,0.0,28.43,23.02,24.18
10,GAS,Alpine,10.0,18.0,Retired,2023,British,10,Race,False,12.0,10.8,0.0,28.5,23.67,23.86
20,MAG,Haas F1 Team,19.0,19.0,Retired,2023,British,10,Race,False,17.0,16.6,0.2,30.03,23.49,25.87
31,OCO,Alpine,13.0,20.0,Retired,2023,British,10,Race,False,14.0,12.4,0.2,28.5,23.67,23.86
1,VER,Red Bull Racing,2.0,1.0,Finished,2023,Hungarian,11,Race,True,3.333,3.4,0.0,21.45,24.08,24.18
4,NOR,McLaren,3.0,2.0,Finished,2023,Hungarian,11,Race,True,7.333,7.8,0.0,21.55,24.96,25.68
11,PER,Red Bull Racing,9.0,3.0,Finished,2023,Hungarian,11,Race,True,2.667,2.4,0.0,21.45,24.08,24.18
44,HAM,Mercedes,1.0,4.0,Finished,2023,Hungarian,11,Race,True,5.333,8.4,0.2,21.8,32.11,29.21
81,PIA,McLaren,4.0,5.0,Finished,2023,Hungarian,11,Race,True,2.667,5.6,0.0,21.55,24.96,25.68
63,RUS,Mercedes,18.0,6.0,Finished,2023,Hungarian,11,Race,True,4.0,5.4,0.0,21.8,32.11,29.21
16,LEC,Ferrari,6.0,7.0,Finished,2023,Hungarian,11,Race,True,8.333,6.4,0.0,23.97,24.98,24.62
55,SAI,Ferrari,11.0,8.0,Finished,2023,Hungarian,11,Race,True,8.667,6.8,0.0,23.97,24.98,24.62
14,ALO,Aston Martin,8.0,9.0,Finished,2023,Hungarian,11,Race,True,10.0,8.8,0.0,22.84,24.44,36.75
18,STR,Aston Martin,14.0,10.0,Lapped,2023,Hungarian,11,Race,True,10.0,8.8,0.0,22.84,24.44,36.75
23,ALB,Williams,16.0,11.0,Lapped,2023,Hungarian,11,Race,True,10.667,12.6,0.2,22.65,25.11,24.89
77,BOT,Alfa Romeo,7.0,12.0,Lapped,2023,Hungarian,11,Race,True,14.0,14.0,0.0,24.38,26.05,25.79
3,RIC,AlphaTauri,13.0,13.0,Lapped,2023,Hungarian,11,Race,True,17.333,17.4,0.0,22.87,25.11,25.28
27,HUL,Haas F1 Team,10.0,14.0,Lapped,2023,Hungarian,11,Race,True,17.333,17.4,0.4,22.43,25.76,27.3
22,TSU,AlphaTauri,17.0,15.0,Lapped,2023,Hungarian,11,Race,True,15.333,16.4,0.0,22.87,25.11,25.28
24,ZHO,Alfa Romeo,5.0,16.0,Lapped,2023,Hungarian,11,Race,True,13.0,13.2,0.0,24.38,26.05,25.79
20,MAG,Haas F1 Team,19.0,17.0,Lapped,2023,Hungarian,11,Race,True,15.333,16.8,0.4,22.43,25.76,27.3
2,SAR,Williams,20.0,18.0,Retired,2023,Hungarian,11,Race,False,10.0,10.8,0.0,22.65,25.11,24.89
31,OCO,Alpine,12.0,19.0,Retired,2023,Hungarian,11,Race,False,17.333,14.8,0.4,,25.4,25.12
10,GAS,Alpine,15.0,20.0,Retired,2023,Hungarian,11,Race,False,19.0,16.2,0.6,,25.4,25.12
1,VER,Red Bull Racing,6.0,1.0,Finished,2023,Belgian,12,Race,True,3.333,2.8,0.0,23.07,23.38,23.12
11,PER,Red Bull Racing,2.0,2.0,Finished,2023,Belgian,12,Race,True,1.667,2.4,0.0,23.07,23.38,23.12
16,LEC,Ferrari,1.0,3.0,Finished,2023,Belgian,12,Race,True,8.333,8.0,0.0,23.21,24.87,24.26
44,HAM,Mercedes,3.0,4.0,Finished,2023,Belgian,12,Race,True,5.0,5.2,0.0,23.28,24.15,28.11
14,ALO,Aston Martin,9.0,5.0,Finished,2023,Belgian,12,Race,True,11.0,9.8,0.0,24.09,24.07,23.77
63,RUS,Mercedes,8.0,6.0,Finished,2023,Belgian,12,Race,True,4.667,4.4,0.0,23.28,24.15,28.11
4,NOR,McLaren,7.0,7.0,Finished,2023,Belgian,12,Race,True,3.667,5.8,0.0,24.37,24.0,24.4
