Abbreviation,Year,RoundNumber,Event,GridPosition,QualiDelta,Corners,TrackLength,TotalLaps,TrackTemp,AirTemp,Rainfall,SafetyCar,VirtualSafetyCar,RedFlag
TSU,2023,6,Monaco,9.0,0.717,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
PER,2023,6,Monaco,20.0,2.485,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
HUL,2023,6,Monaco,18.0,1.914,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
SAR,2023,6,Monaco,16.0,1.748,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
MAG,2023,6,Monaco,17.0,1.905,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
STR,2023,6,Monaco,14.0,1.258,19,2950.03,78.0,39.26,25.07,0.15,False,False,False
VER,2023,7,Spanish,1.0,0.0,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
HAM,2023,7,Spanish,4.0,0.546,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
RUS,2023,7,Spanish,12.0,1.175,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
PER,2023,7,Spanish,11.0,1.062,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
SAI,2023,7,Spanish,2.0,0.462,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
STR,2023,7,Spanish,5.0,0.722,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
ALO,2023,7,Spanish,8.0,1.235,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
OCO,2023,7,Spanish,6.0,0.811,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
ZHO,2023,7,Spanish,13.0,1.249,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
GAS,2023,7,Spanish,10.0,0.544,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
LEC,2023,7,Spanish,19.0,1.807,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
TSU,2023,7,Spanish,15.0,2.205,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
PIA,2023,7,Spanish,9.0,1.41,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
DEV,2023,7,Spanish,14.0,1.811,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
HUL,2023,7,Spanish,7.0,0.957,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
ALB,2023,7,Spanish,18.0,1.791,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
NOR,2023,7,Spanish,3.0,0.52,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
MAG,2023,7,Spanish,17.0,1.77,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
BOT,2023,7,Spanish,16.0,1.705,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
SAR,2023,7,Spanish,20.0,2.427,14,4317.01,66.0,33.84,22.67,0.0,False,False,False
VER,2023,8,Canadian,1.0,0.0,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
ALO,2023,8,Canadian,2.0,1.428,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
HAM,2023,8,Canadian,3.0,1.769,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
LEC,2023,8,Canadian,10.0,-5.243,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
SAI,2023,8,Canadian,11.0,3.436,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
PER,2023,8,Canadian,12.0,-4.899,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
ALB,2023,8,Canadian,9.0,-7.133,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
OCO,2023,8,Canadian,6.0,2.087,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
STR,2023,8,Canadian,16.0,-4.374,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
BOT,2023,8,Canadian,14.0,-4.037,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
PIA,2023,8,Canadian,8.0,5.491,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
GAS,2023,8,Canadian,15.0,-2.972,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
NOR,2023,8,Canadian,7.0,2.188,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
TSU,2023,8,Canadian,19.0,-3.112,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
HUL,2023,8,Canadian,5.0,1.244,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
ZHO,2023,8,Canadian,20.0,-2.516,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
MAG,2023,8,Canadian,13.0,-4.18,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
DEV,2023,8,Canadian,17.0,-2.721,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
RUS,2023,8,Canadian,4.0,2.035,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
SAR,2023,8,Canadian,18.0,-2.521,14,3849.05,70.0,30.59,18.53,0.0,True,True,False
VER,2023,9,Austrian,1.0,0.0,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
LEC,2023,9,Austrian,2.0,0.048,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
PER,2023,9,Austrian,15.0,62.297,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
NOR,2023,9,Austrian,4.0,0.267,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
ALO,2023,9,Austrian,7.0,0.52,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
SAI,2023,9,Austrian,3.0,0.19,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
RUS,2023,9,Austrian,11.0,1.037,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
HAM,2023,9,Austrian,5.0,0.428,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
STR,2023,9,Austrian,6.0,0.502,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
GAS,2023,9,Austrian,9.0,0.779,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
ALB,2023,9,Austrian,10.0,1.432,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
ZHO,2023,9,Austrian,17.0,1.427,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
SAR,2023,9,Austrian,18.0,1.557,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
OCO,2023,9,Austrian,12.0,1.062,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
BOT,2023,9,Austrian,14.0,1.289,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
PIA,2023,9,Austrian,13.0,1.214,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
DEV,2023,9,Austrian,20.0,1.583,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
MAG,2023,9,Austrian,19.0,1.58,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
TSU,2023,9,Austrian,16.0,1.393,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
HUL,2023,9,Austrian,8.0,0.699,10,3942.53,71.0,32.05,22.4,0.02,True,True,False
VER,2023,10,British,1.0,0.0,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
NOR,2023,10,British,2.0,0.241,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
HAM,2023,10,British,7.0,0.491,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
PIA,2023,10,British,3.0,0.372,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
RUS,2023,10,British,6.0,0.435,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
PER,2023,10,British,15.0,3.248,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
ALO,2023,10,British,9.0,0.939,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
ALB,2023,10,British,8.0,0.81,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
LEC,2023,10,British,4.0,0.416,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
SAI,2023,10,British,5.0,0.428,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
SAR,2023,10,British,14.0,2.311,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
BOT,2023,10,British,20.0,3.078,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
HUL,2023,10,British,11.0,2.176,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
STR,2023,10,British,12.0,2.215,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
ZHO,2023,10,British,17.0,3.403,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
TSU,2023,10,British,16.0,3.305,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
DEV,2023,10,British,18.0,3.793,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
GAS,2023,10,British,10.0,0.969,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
MAG,2023,10,British,19.0,5.658,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
OCO,2023,10,British,13.0,2.236,18,5676.15,52.0,30.94,21.47,0.0,True,True,False
VER,2023,11,Hungarian,2.0,0.003,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
NOR,2023,11,Hungarian,3.0,0.085,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
PER,2023,11,Hungarian,9.0,0.436,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
HAM,2023,11,Hungarian,1.0,0.0,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
PIA,2023,11,Hungarian,4.0,0.296,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
RUS,2023,11,Hungarian,18.0,2.418,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
LEC,2023,11,Hungarian,6.0,0.383,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
SAI,2023,11,Hungarian,11.0,1.094,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
ALO,2023,11,Hungarian,8.0,0.426,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
STR,2023,11,Hungarian,14.0,1.535,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
ALB,2023,11,Hungarian,16.0,2.308,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
BOT,2023,11,Hungarian,7.0,0.425,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
RIC,2023,11,Hungarian,13.0,1.393,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
HUL,2023,11,Hungarian,10.0,0.577,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
TSU,2023,11,Hungarian,17.0,2.31,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
ZHO,2023,11,Hungarian,5.0,0.362,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
MAG,2023,11,Hungarian,19.0,2.597,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
SAR,2023,11,Hungarian,20.0,2.639,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
OCO,2023,11,Hungarian,12.0,1.232,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
GAS,2023,11,Hungarian,15.0,1.608,16,4066.56,70.0,48.58,28.81,0.0,False,False,False
VER,2023,12,Belgian,6.0,0.0,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
PER,2023,12,Belgian,2.0,0.877,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
LEC,2023,12,Belgian,1.0,0.82,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
HAM,2023,12,Belgian,3.0,0.919,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
ALO,2023,12,Belgian,9.0,1.675,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
RUS,2023,12,Belgian,8.0,1.637,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
NOR,2023,12,Belgian,7.0,1.501,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
OCO,2023,12,Belgian,14.0,10.204,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
STR,2023,12,Belgian,10.0,2.673,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
TSU,2023,12,Belgian,11.0,6.98,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
GAS,2023,12,Belgian,12.0,7.503,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
BOT,2023,12,Belgian,13.0,8.526,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
ZHO,2023,12,Belgian,17.0,14.664,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
ALB,2023,12,Belgian,15.0,14.146,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
MAG,2023,12,Belgian,16.0,7.992,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
RIC,2023,12,Belgian,19.0,15.991,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
SAR,2023,12,Belgian,18.0,15.367,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
HUL,2023,12,Belgian,20.0,16.998,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
SAI,2023,12,Belgian,4.0,0.984,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
PIA,2023,12,Belgian,5.0,1.197,19,6736.97,44.0,28.24,17.87,0.07,False,False,False
VER,2023,13,Dutch,1.0,0.0,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
ALO,2023,13,Dutch,5.0,0.939,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
GAS,2023,13,Dutch,12.0,9.561,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
PER,2023,13,Dutch,7.0,1.313,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
SAI,2023,13,Dutch,6.0,1.187,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
HAM,2023,13,Dutch,13.0,9.584,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
NOR,2023,13,Dutch,2.0,0.537,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
ALB,2023,13,Dutch,4.0,0.852,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
PIA,2023,13,Dutch,8.0,1.371,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
OCO,2023,13,Dutch,16.0,11.543,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
STR,2023,13,Dutch,11.0,9.554,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
HUL,2023,13,Dutch,14.0,9.683,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
LAW,2023,13,Dutch,19.0,12.853,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
BOT,2023,13,Dutch,18.0,11.693,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
TSU,2023,13,Dutch,17.0,9.663,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
MAG,2023,13,Dutch,0.0,11.625,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
RUS,2023,13,Dutch,3.0,0.727,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
ZHO,2023,13,Dutch,15.0,11.5,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
LEC,2023,13,Dutch,9.0,2.098,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
SAR,2023,13,Dutch,10.0,6.181,14,3747.58,72.0,24.94,16.79,0.23,True,True,True
VER,2023,14,Italian,2.0,0.013,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
PER,2023,14,Italian,5.0,0.394,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
SAI,2023,14,Italian,1.0,0.0,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
LEC,2023,14,Italian,3.0,0.067,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
RUS,2023,14,Italian,4.0,0.377,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
HAM,2023,14,Italian,8.0,0.526,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
ALB,2023,14,Italian,6.0,0.466,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
NOR,2023,14,Italian,9.0,0.685,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
ALO,2023,14,Italian,10.0,1.123,11,5185.06,51.0,42.93,29.33,0.0,False,False,False
